Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,8.01-10.00,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,8.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,10.01-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,10.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,0.00-2.00,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,2.01-3.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,5.51-8.00,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,8.01-10.00,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,8.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,10.01-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,10.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,0.00-2.00,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,2.01-3.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,5.51-8.00,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,8.01-10.00,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,8.01,,,,,,
,,,,,,,,,,LG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,10.01-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,10.01,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-12.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,0.00-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0.00,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,RG,,,,,,,,,,,,,,,,,tier_6,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-12.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,0-0.50,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,0.51-1.50,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,0.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,1.51-2.50,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,2.51-3.50,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,3.51-5.50,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,3.51,,,,,,
,,,,,,,,,,C,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,5.51-100.00,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,5.51,,,,,,
